Layer	PeoplePromise	theme	SubTheme	FurtherSubTheme	routingownersecondary	Notes
3	-	unclear reporting processes	-	-	CIRG	
3	-	uncompensated hours	-	-	CIRG	
3	-	undermined	-	-	CIRG	
3	-	understood	-	-	CIRG	
3	-	undervalued	-	-	CIRG	
3	-	unfair treatment	-	-	CIRG	
3	-	unmanageable workload	-	-	PERRG	
3	-	unnecessary oversight	-	-	CIRG	
3	-	unpaid overtime	-	-	CIRG	
3	-	unrealistic expectations	-	-	CIRG	
3	-	unsafe staffing	-	-	PERRG	
3	-	unspecified senior issues	-	-	CIRG	
3	-	unwanted sexual behaviour	-	-	CIRG	
3	-	vacancies	-	-	PERRG	
3	-	valued by colleagues	-	-	CIRG	
3	-	valuing diversity	-	-	CIRG	
3	-	violence from colleagues	-	-	CIRG	
3	-	violence from managers	-	-	CIRG	
3	-	violence from patients	-	-	CIRG	
3	-	visibility differences	-	-	CIRG	
3	-	visibility of work	-	-	CIRG	
3	-	voice	-	-	CIRG	
3	-	wards prioritised	-	-	CIRG	
3	-	wellbeing initiatives	-	-	PERRG	
3	-	wellbeing resources	-	-	Education Leads	
3	-	wellbeing support	-	-	PERRG	
3	-	willingness to recommend	-	-	PERRG	
3	-	work pattern flexibility	-	-	CIRG	
3	-	working while unwell	-	-	PERRG	
3	-	work-life balance	-	-	CIRG	
3	-	work-life balance	-	-	CIRG	
3	-	workload linked to staffing	-	-	PERRG	
3	-	work-related injury	-	-	PERRG	
3	-	work-related stress	-	-	PERRG	
3	-	worn out	-	-	PERRG	
